group2	family2	genus2	group	family	genus	taxa	ID	DIN	shortcode	level	gt	sens	exp	refu	SPEAR
Diptera Gen. sp.	Syrphidae Gen. sp.	Syrphidae Gen. sp.	Diptera	Syrphidae	Syrphidae	Syrphidae Gen. sp.	9322	20050	syrpgen.	family	0.25	-0.35	1	1	0
Diptera Gen. sp.	Tabanidae Gen. sp.	Tabanidae Gen. sp.	Diptera	Tabanidae	Tabanidae	Tabanidae Gen. sp.	8485	122	tabagen.	family	0.75	-0.35	0	0	0
Diptera Gen. sp.	Tipulidae Gen. sp.	Tipulidae Gen. sp.	Diptera	Tipulidae	Tipulidae	Tipulidae Gen. sp.	8487	123	tipdaege	family	0.5	-0.35	0	1	0
Entoprocta Gen. sp.	Entoprocta Gen. sp.	Entoprocta Gen. sp.	Entoprocta	Entoprocta	Entoprocta	Entoprocta Gen. sp.	20000001	NA	NA	group	NA	NA	1	1	NA
Ephemeroptera Gen. sp.	Ameletidae Gen. sp.	Ameletidae Gen. sp.	Ephemeroptera	Ameletidae	Ameletidae	Ameletidae Gen. sp.	14627	NA	amelgen.	family	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Ameletidae Gen. sp.	Ameletinae Gen. sp.	Ephemeroptera	Ameletidae	Ameletinae	Ameletinae Gen. sp.	19832	NA	amelgesp	genus	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Ameletidae Gen. sp.	Ameletus sp.	Ephemeroptera	Ameletidae	Ameletus	Ameletus inopinatus	4288	966	amelinop	species	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Ameletidae Gen. sp.	Ameletus sp.	Ephemeroptera	Ameletidae	Ameletus	Ameletus sp.	8868	NA	amelsp	genus	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Ameletidae Gen. sp.	Metreletus sp.	Ephemeroptera	Ameletidae	Metreletus	Metreletus balcanicus	5972	20100	metrbalc	species	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Ameletidae Gen. sp.	Metreletus sp.	Ephemeroptera	Ameletidae	Metreletus	Metreletus sp.	10654	NA	metrsp.	genus	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Ametropodidae Gen. sp.	Ametropodidae Gen. sp.	Ephemeroptera	Ametropodidae	Ametropodidae	Ametropodidae Gen. sp.	10655	NA	ametgesp	family	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Ametropodidae Gen. sp.	Ametropus sp.	Ephemeroptera	Ametropodidae	Ametropus	Ametropus fragilis	4289	20904	ametfrag	species	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Ametropodidae Gen. sp.	Ametropus sp.	Ephemeroptera	Ametropodidae	Ametropus	Ametropus sp.	14415	20278	ametsp.	genus	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Ametropodidae Gen. sp.	Metreplecton sp.	Ephemeroptera	Ametropodidae	Metreplecton	Metreplecton macronyx	16587	NA	metrmacr	species	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Ametropodidae Gen. sp.	Metreplecton sp.	Ephemeroptera	Ametropodidae	Metreplecton	Metreplecton sp.	16588	NA	metrepsp	genus	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Ametropodidae Gen. sp.	Metretopus sp.	Ephemeroptera	Ametropodidae	Metretopus	Metretopus alter	13450	NA	metralte	species	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Ametropodidae Gen. sp.	Metretopus sp.	Ephemeroptera	Ametropodidae	Metretopus	Metretopus borealis	13451	NA	metrbore	species	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Ametropodidae Gen. sp.	Metretopus sp.	Ephemeroptera	Ametropodidae	Metretopus	Metretopus sp.	13449	NA	metpsp.	genus	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Arthropleidae Gen. sp.	Arthroplea sp.	Ephemeroptera	Arthropleidae	Arthroplea	Arthroplea congener	4351	20905	arthcong	species	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Arthropleidae Gen. sp.	Arthroplea sp.	Ephemeroptera	Arthropleidae	Arthroplea	Arthroplea sp.	8884	20289	arthsp.	genus	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Arthropleidae Gen. sp.	Arthropleidae Gen. sp.	Ephemeroptera	Arthropleidae	Arthropleidae	Arthropleidae Gen. sp.	9281	NA	arthgen.	family	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Arthropleidae Gen. sp.	Arthropleinae Gen. sp.	Ephemeroptera	Arthropleidae	Arthropleinae	Arthropleinae Gen. sp.	19835	NA	arthgesp	genus	1	-0.3	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Acentrella sp.	Ephemeroptera	Baetidae	Acentrella	Acentrella almohades	16578	NA	acenalmo	species	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Acentrella sp.	Ephemeroptera	Baetidae	Acentrella	Acentrella hyaloptera	21483	NA	acenhyal	species	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Acentrella sp.	Ephemeroptera	Baetidae	Acentrella	Acentrella inexpectata	10670	20935	baetinex	species	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Acentrella sp.	Ephemeroptera	Baetidae	Acentrella	Acentrella lapponica	4194	NA	acenlapp	species	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Acentrella sp.	Ephemeroptera	Baetidae	Acentrella	Acentrella sinaica	4195	20936	acensina	species	0.5	-0.25	1	1	1
