group2	family2	genus2	group	family	genus	subspecies	stage	taxa	ID	DIN	shortcode	levelAQEM	LINK	LINK_ID	levelLINK
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	NA	NA	Unio mancus	7136	1328	uniomanc	species	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio pictorum ssp.	NA	Unio pictorum latirostris	7800	NA	uniopila	subspecies	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio pictorum ssp.	NA	Unio pictorum pictorum	7137	1059	uniopict	subspecies	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio pictorum ssp.	NA	Unio pictorum platyrhynchus	7799	NA	uniopipl	subspecies	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio pictorum ssp.	NA	Unio pictorum ssp.	19441	NA	unipissp	subspecies	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	NA	NA	Unio sp.	7138	1068	uniosp.	genus	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio tumidus ssp.	NA	Unio tumidus depressus	16782	NA	uniotude	subspecies	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio tumidus ssp.	NA	Unio tumidus ssp.	19442	NA	unitussp	subspecies	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio tumidus ssp.	NA	Unio tumidus tumidus	7139	1062	uniotumi	subspecies	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio tumidus ssp.	NA	Unio tumidus zelebori	7798	NA	uniotuze	subspecies	Unio sp.	7138	genus
